param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_triggerOnset,param_videoSubject,param_videoFilename,param_cue_type,param_administer_type,param_cond_type,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum
1,5,2,6373.49774569081,095-tv095,tv095t1afaff_H.mp4,low,high,5,6715.7060070805,1.70800376978423,6717.43043533443,low,l002.png,6718.4637398633,6721.5135804036,3.04983865000668,6722.49762390194,3.51593165781378,tv095t1afaff_H.mp4,tv095t1afaff_H.mp4,6726.0337927645,6732.51894397442,2.84986268372995,6732.52955688836,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,101-mg101,mg101t2aeunaff_M.mp4,low,med,3,6736.57156135485,1.10790196401467,6737.69595693373,low,l014.png,6738.72921447532,6742.71238114784,3.98316451218307,6743.24616230054,0.716135539395509,mg101t2aeunaff_M.mp4,mg101t2aeunaff_M.mp4,6743.98228066527,6750.4677902207,2.88319421678443,6750.47853059439,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,109-ib109,ib109t1afaff_M.mp4,low,med,3,6754.5211807309,1.00722793960813,6755.54488878327,low,l036.png,6756.57825056101,6760.02799658667,3.44974413536602,6760.6120832917,0.515898982752333,ib109t1afaff_M.mp4,ib109t1afaff_M.mp4,6761.14812874514,6767.6333466554,2.5498802364491,6767.64419828631,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,066-mg066,mg066t1aaaff_H.mp4,high,high,6,6771.68607772344,3.30798756727381,6775.01042712516,high,h016.png,6776.04376405905,6778.36025794396,2.31649199461026,6780.07766484028,0.515854155809393,mg066t1aaaff_H.mp4,mg066t1aaaff_H.mp4,6780.61889806731,6787.11529462914,3.19985876812279,6787.12635986314,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,080-bn080,bn080t1afaff_H.mp4,high,high,6,6791.16837081064,4.0078579471965,6795.20923056982,high,h043.png,6796.24257506488,6798.24240007777,1.99982312260181,6800.27652499372,2.01579798710736,bn080t1afaff_H.mp4,bn080t1afaff_H.mp4,6802.31284724004,6808.79757772479,3.16645432377481,6808.80849200541,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,048-aa048,aa048t2afunaff_M.mp4,high,med,4,6812.85024506296,1.1080580481912,6813.97480779773,high,h002.png,6815.00817659656,6818.30795786267,3.29977937582498,6819.0419877239,0.21591518526202,aa048t2afunaff_M.mp4,aa048t2afunaff_M.mp4,6819.28400731273,6825.7795648546,2.8832055585417,6825.79077267069,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,107-hs107,hs107t2aeunaff_L.mp4,low,low,1,6829.83356916986,3.30705916346415,6833.15702662342,low,l006.png,6834.19037003832,6837.60679776297,3.41642556431998,6838.22426973938,1.61585955664577,hs107t2aeunaff_L.mp4,hs107t2aeunaff_L.mp4,6839.85984072933,6846.3450251544,1.66658907464807,6846.35627509701,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,123-jh123,jh123t1aaunaff_L.mp4,low,low,1,6850.39853880366,2.0076616267861,6852.42256982607,low,l037.png,6853.45592323251,6855.58904656331,2.13312144051088,6857.48985047784,3.41580473815338,jh123t1aaunaff_L.mp4,jh123t1aaunaff_L.mp4,6860.93187951814,6867.42772222417,1.76659258519157,6867.43836457267,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,096-bg096,bg096t1aeaff_H.mp4,high,high,6,6871.4804622036,3.30778179539993,6874.80460097269,high,h046.png,6875.83787552692,6878.02113725416,2.18325983694831,6879.87167558255,3.61600132860531,bg096t1aeaff_H.mp4,bg096t1aeaff_H.mp4,6883.51061129369,6890.0094887298,NaN,6890.02035926365,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,048-aa048,aa048t2aaunaff_L.mp4,high,low,2,6894.04620496715,0.107361610313092,6894.17013310362,high,h041.png,6895.20340468739,6897.26998728103,2.06658070335106,6899.23725470075,0.215974594464569,aa048t2aaunaff_L.mp4,aa048t2aaunaff_L.mp4,6899.47249758988,6905.95856154118,2.04989589887464,6905.96945151804,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,101-mg101,mg101t2aeaff_H.mp4,low,high,5,6910.01140305633,0.208346992949373,6910.23585399378,low,l028.png,6911.2525126042,6915.08559839919,3.83308390469665,6915.61946434503,0.516118526759783,mg101t2aeaff_H.mp4,mg101t2aeaff_H.mp4,6916.16070918385,6922.65820886655,2.09993113933433,6922.66843913122,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,095-tv095,tv095t2aeunaff_L.mp4,low,low,1,6926.7103201886,0.60846365101952,6927.33485645927,low,l050.png,6928.36823930027,6931.76795980697,3.39971834637254,6932.40216843589,1.11576423187944,tv095t2aeunaff_L.mp4,tv095t2aeunaff_L.mp4,6933.53822577117,6940.02298596053,1.88320366824883,6940.0341413885,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,109-ib109,ib109t1aiaff_H.mp4,low,high,5,6944.07700539814,1.50753497716778,6945.60043395722,low,l033.png,6946.63380572651,6948.78362979425,2.14982217745455,6950.66769354573,0.115849025014541,ib109t1aiaff_H.mp4,ib109t1aiaff_H.mp4,6950.80357400361,6957.28853240367,2.68317990456762,6957.2997734349,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,043-jh043,jh043t2aeunaff_M.mp4,high,med,4,6961.34219835653,1.30741696888799,6962.66611569132,high,h044.png,6963.69948800069,6966.94923618669,3.24974629570079,6967.7333796005,0.415835522921952,jh043t2aeunaff_M.mp4,jh043t2aeunaff_M.mp4,6968.16906886877,6974.65468995147,2.53323377791276,6974.66539711001,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,048-aa048,aa048t2aeaff_H.mp4,high,high,6,6978.70737484236,0.207913845854819,6978.93184306249,high,h025.png,6979.96513084877,6983.59828037363,3.63313494260274,6984.13211175411,0.116125007763003,aa048t2aeaff_H.mp4,aa048t2aeaff_H.mp4,6984.26837324102,6990.75380124381,2.86652912536101,6990.76446060495,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,095-tv095,tv095t2afaff_M.mp4,low,med,3,6994.80705457275,0.907280057681419,6995.73084795835,low,l023.png,6996.76420487534,6999.2806785071,2.51647147143103,7000.79809674519,2.01635751377853,tv095t2afaff_M.mp4,tv095t2afaff_M.mp4,7002.83988679847,7009.33642162171,2.53317301850075,7009.34674181031,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,047-jl047,jl047t1aaunaff_L.mp4,high,low,2,7013.388734665,1.40788009062544,7014.81306057308,high,h028.png,7015.84643828329,NaN,NaN,7019.86328754324,0.116203859977759,jl047t1aaunaff_L.mp4,jl047t1aaunaff_L.mp4,7020.0047611075,7026.50174312001,1.88324363443917,7026.51239762039,7050.16100460961,676.663258918807,2
1,5,2,6373.49774569081,047-jl047,jl047t1aiaff_H.mp4,low,high,5,7030.55438372404,3.30787739020798,7033.87862483899,low,l047.png,7034.91196042267,7037.24517799807,2.33321568510928,7038.94579450357,0.615921396224621,jl047t1aiaff_H.mp4,jl047t1aiaff_H.mp4,7039.58653706459,7046.08408940545,2.01658947971009,7046.09457053898,7050.16100460961,676.663258918807,2
