"task","subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad"
"vicarious","35",4.15247800639803,-2.61886980195614,2.0261459345703,0.510211591395539,-4.48973087189404,0.330209368015395,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","25",4.28054854016543,-2.77191933604219,5.56977944582365,-0.590536866623624,-4.37361414292075,0.676552999335488,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","14",4.90320969767702,-2.16591611983317,0.807272775502944,0.669303860549004,-4.30325240493321,0.407471150766912,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","10",5.51481942583422,-3.34060592397683,3.09233890018019,0.476795339631955,-5.75150546546832,0.505130772571896,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","15",5.60492841175685,-5.29333059579633,5.85032209910944,0.526484986935353,-7.94412814339346,0.423057110672849,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","7",7.58575112784882,1.98832964189862,9.70287886846909,-4.40117846559883,0.836472581299099,2.50014830021933,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","5",7.78961558821786,-6.66775445841982,6.41830152040077,0.958065352536907,-10.3512325495422,0.547338232670371,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","31",8.49751366868607,0.110230356632418,9.99477109800485,-3.59456104008614,-1.78918827197671,2.30838142171478,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","32",8.60139397586969,-1.27218808591671,6.37587714690621,-1.71643664698195,-3.90668584104577,1.69614993213758,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","26",8.66205800974519,-1.16186610133198,10.2054550991749,-3.04014102434629,-3.41082363046656,2.11140243266964,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
