"task","subj","rand_intercept","rand_cue","rand_ses","rand_int_cue_ses","fix_intercept","fix_cue","fix_stimulus_linear","fix_ses","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_ses","fix_int_ses_stimlin","fix_int_cue_stimquad","fix_int_ses_stimquad","fix_int_ses_cue_stimlin","fix_int_ses_cue_stimquad"
"pain","30",-14.1968452056723,-2.52351256032851,1.63379262241395,0.58863066582566,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","26",-8.69886952614963,5.45285901095057,2.74209010435218,-0.658675386106383,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","7",0.378441751200331,1.5716785851995,-0.215846021305336,-0.358978121180293,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","23",1.29889037228516,-17.5592942249957,3.5522818804787,4.38382074933983,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","33",4.10858550001373,-0.602295750685658,0.100245894582688,0.229271847720396,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","21",5.85000372095815,-4.59306200009394,1.35428573885595,1.35692822134113,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","16",6.87017409434884,-4.24385361194239,-4.98636514321222,-0.133423150139296,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","24",6.90158393045013,-1.64572831832892,-1.88152664279786,0.047494874340931,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","20",10.7523880650973,-4.31832822274927,-0.917983773736337,0.886157991344653,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","35",21.6149952021448,2.42617655171734,-9.95611472332526,-2.30705987180659,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","14",26.0716645193428,-11.3259049514751,-9.27655067207816,0.719433744396252,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","6",26.3460291291312,14.8444011221605,-11.0458395651307,-4.96762117730985,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","28",29.4064776816017,7.28043935849754,-3.71300891617412,-1.7091032877475,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","2",42.790905460354,0.161140320407801,-12.962374003723,-2.0955605384069,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","9",50.1073344738629,-17.5352976241367,11.6280720021742,7.22060963759065,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","32",55.3142808679433,-22.4707300445939,6.84786622203299,7.23954366268842,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
"pain","15",83.4338233776383,-13.3180391128342,-5.09341254276118,3.25568071895946,13.8161040137783,-9.47597071083961,25.5005417176853,-2.9178078066245,-3.72419797431243,1.12996611059125,0.377046327191544,0.604353163228214,6.09652919183719,0.848169664609379,-1.16579249918803,-0.804550440407287
