,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
10,10,26,50,same,low,h001_M063_STD035.png,1,1,cognitive,99,1,26_50.jpg,1,469.37890625,591.11328125,1628.692827922,2.0011327329998503,0,0,0,0,0,0,1635.72586519,2,4.99994867800001,1636.2276271520002,,
11,11,32,150,same,low,h047_M091_STD038.png,27,5,cognitive,99,1,32_150.jpg,1,536.3984375,454.1171875,1640.266707039,2.0011436820000204,0,0,0,0,0,0,1647.29998367,2,4.99924083900009,1647.8018538570002,1651.3594150979998,3.53835554800003
12,12,11,100,different,high,h016_M088_STD039.png,18,4,cognitive,99,1,11_100_R.jpg,1,514.89453125,480.3671875,1651.8416721170001,2.00114058100007,0,0,0,0,0,0,1658.879371142,1,4.99973924599999,1659.381117567,1663.121157073,3.7206671810001803
13,13,18,50,different,high,h025_M103_STD038.png,10,2,cognitive,99,1,18_50_R.jpg,1,511.12109375,481.8046875,1663.421388851,2.00117259699982,0,0,0,0,0,0,1670.453544206,1,4.99944280600016,1670.955326794,1674.0965216170002,3.1215353729999196
14,14,39,50,same,low,h015_M097_STD053.png,3,1,cognitive,99,1,39_50.jpg,1,481.05078125,536.62890625,1674.996352869,2.0003793569999297,0,0,0,0,0,0,1682.028372458,2,4.99955907799995,1682.5301222639998,1684.1204743229998,1.57095959499998
15,15,5,150,different,low,h037_M106_STD056.png,33,5,cognitive,99,1,5_150_R.jpg,1,481.84375,572.734375,1686.57110166,2.00114418999988,0,0,0,0,0,0,1693.607854415,1,4.99961206900002,1694.109575311,1696.479496485,2.3505829480000098
16,16,25,50,different,high,h056_M101_STD029.png,6,2,cognitive,99,1,25_50_R.jpg,1,495.6875,503.28515625,1698.1496171320002,2.00113847600005,0,0,0,0,0,0,1705.182567825,1,4.99968508200004,1705.684308554,,
17,17,39,100,different,low,h039_M093_STD051.png,21,3,cognitive,99,1,39_100_R.jpg,1,537.71875,465.9609375,1709.724516995,2.0011366710000402,0,0,0,0,0,0,1716.7565473670002,1,4.99948489799999,1717.2583264339999,1718.566458674,1.28850733600007
18,18,47,100,same,high,h015_M105_STD050.png,12,4,cognitive,99,1,47_100.jpg,1,488.1015625,565.0078125,1721.299743447,2.00114468399988,0,0,0,0,0,0,1728.33644677,2,4.99938569300002,1728.838223133,1731.5239293920001,2.66622281500008
19,19,1,150,same,low,h007_M075_STD026.png,29,5,cognitive,99,1,1_150.jpg,1,485.859375,574.54296875,1732.891332213,2.00113907100013,0,0,0,0,0,0,1739.92841356,2,4.99985892000018,1740.429096656,1741.882625567,1.43335284
20,20,34,100,different,high,h035_M088_STD045.png,22,4,cognitive,99,1,34_100_R.jpg,1,504.16796875,501.9921875,1744.470083786,2.00011964999999,0,0,0,0,0,0,1751.502581165,1,4.999897162000019,1752.00436404,1754.712085441,2.68873459299994
21,21,19,150,different,high,h037_M122_STD031.png,34,6,cognitive,99,1,19_150_R.jpg,1,494.46875,529.9140625,1756.044876314,2.00113892700006,0,0,0,0,0,0,1763.08203596,1,4.999407005999959,1763.583801106,1766.470318533,2.86776963900002
22,22,42,150,same,high,h030_M089_STD040.png,26,6,cognitive,99,1,42_150.jpg,1,509.34765625,508.1796875,1767.619133959,2.0011434380001,0,0,0,0,0,0,1774.245848313,2,4.58941055999981,1775.26349285,1777.794020328,2.50020911599995
23,23,3,100,different,high,h036_M063_STD040.png,20,4,cognitive,99,1,3_100_R.jpg,1,482.39453125,536.34765625,1779.315046235,2.00114366499997,0,0,0,0,0,0,1786.347594647,1,4.999551865000059,1786.849378346,1789.356928142,2.4878768640001003
24,24,19,100,same,high,h027_M116_STD049.png,16,4,cognitive,99,1,19_100.jpg,1,504.77734375,505.13671875,1790.889996414,2.00114355100004,0,0,0,0,0,0,1797.923388874,2,4.9997659590001104,1798.425159728,1801.514071809,3.06581100199992
25,25,41,150,different,high,h023_M111_STD027.png,32,6,cognitive,99,1,41_150_R.jpg,1,471.69921875,601.07421875,1802.481096482,2.00113740199981,0,0,0,0,0,0,1809.519935586,1,4.99974152799996,1810.021694622,1812.4560791889999,2.41655730599996
26,26,6,100,same,low,h016_M068_STD056.png,17,3,cognitive,99,1,6_100.jpg,1,482.47265625,565.734375,1814.0608798189999,2.00112651099994,0,0,0,0,0,0,1821.0938974389999,2,4.99971937100008,1821.595644974,1824.385913711,2.77207227200006
27,27,32,50,different,low,h030_M107_STD055.png,9,1,cognitive,99,1,32_50_R.jpg,1,505.296875,497.85546875,1825.635529497,2.00112021999985,0,0,0,0,0,0,1832.667598767,1,4.99959330600018,1833.169333419,,
28,28,41,100,same,high,h012_M100_STD045.png,14,4,cognitive,99,1,41_100.jpg,1,481.74609375,563.53125,1837.210755546,2.0011457850000602,0,0,0,0,0,0,1844.2472102289998,2,4.99981591400001,1844.748940809,1847.2682506239998,2.4990929330001603
29,29,18,150,same,high,h048_M093_STD046.png,28,6,cognitive,99,1,18_150.jpg,1,483.6171875,534.64453125,1848.7904694929998,2.00114089899989,0,0,0,0,0,0,1855.82162568,2,4.999637381999951,1856.323372595,1857.692766135,1.35013221700001
30,30,47,150,different,high,h031_M117_STD049.png,30,6,cognitive,99,1,47_150_R.jpg,1,500.83203125,500.92578125,1860.364578957,2.0011693569999798,0,0,0,0,0,0,1867.3992058610002,1,4.999952221999821,1867.900965835,,
31,31,5,100,same,low,h026_M078_STD049.png,15,3,cognitive,99,1,5_100.jpg,1,499.40625,522.2265625,1871.9390175439999,2.00119112699986,0,0,0,0,0,0,1878.975604031,2,4.999430738,1879.4774240979998,1882.280262305,2.78357118099984
32,32,22,50,same,low,h017_M089_STD032.png,5,1,cognitive,99,1,22_50.jpg,1,475.34375,600.91015625,1883.518135236,2.00114560899988,0,0,0,0,0,0,1890.550073739,2,4.999328526,1891.051878135,1892.37162021,1.2996303289999098
33,33,42,50,different,high,h020_M085_STD037.png,8,2,cognitive,99,1,42_50_R.jpg,1,489.90234375,572.9921875,1895.09266285,2.00142722500004,0,0,0,0,0,0,1902.125794986,1,4.999815254000169,1902.6275303789998,1905.301126945,2.6549255139998396
34,34,26,100,different,low,h020_M106_STD062.png,19,3,cognitive,99,1,26_100_R.jpg,1,505.07421875,506.234375,1906.668717837,2.00014878000002,0,0,0,0,0,0,1913.705292132,1,4.999668858000179,1914.206643025,1916.542662046,2.31664662100002
35,35,22,100,different,low,h029_M099_STD051.png,23,3,cognitive,99,1,22_100_R.jpg,1,470.0,599.4609375,1918.2466022679998,2.00112231599996,0,0,0,0,0,0,1925.2792650029999,1,4.99940664100018,1925.780973497,1927.767018725,1.9666280649999
