"subj","rand_intercept","rand_cue","fix_intercept","fix_cue","task"
"86",-5.47581823732207,-2.74246451499125,49.4758498269563,-30.9370561085578,"cognitive"
"8",-5.17822778805918,23.8970864299858,49.4758498269563,-30.9370561085578,"cognitive"
"18",-4.49267755500629,9.10567213938456,49.4758498269563,-30.9370561085578,"cognitive"
"10",-4.16034288862645,-4.97185449010409,49.4758498269563,-30.9370561085578,"cognitive"
"126",-3.66111687965297,9.35122841173325,49.4758498269563,-30.9370561085578,"cognitive"
"76",-3.48873564792849,-6.59644734012433,49.4758498269563,-30.9370561085578,"cognitive"
"90",-3.35300338767667,6.8464271283976,49.4758498269563,-30.9370561085578,"cognitive"
"103",-3.22172353874894,22.9274292609204,49.4758498269563,-30.9370561085578,"cognitive"
"26",-2.94890258674807,3.37558996824848,49.4758498269563,-30.9370561085578,"cognitive"
"20",-2.55020294160159,11.2710982736267,49.4758498269563,-30.9370561085578,"cognitive"
"52",-2.05243094285555,-7.48272003083068,49.4758498269563,-30.9370561085578,"cognitive"
"50",-1.79163907615055,-2.43496196079059,49.4758498269563,-30.9370561085578,"cognitive"
"115",-1.61971132510448,4.99373297058307,49.4758498269563,-30.9370561085578,"cognitive"
"98",-1.23585379019565,-10.3679014857335,49.4758498269563,-30.9370561085578,"cognitive"
"55",-1.20601965108548,-5.52599625026599,49.4758498269563,-30.9370561085578,"cognitive"
"21",0.189217096364741,-8.4661599531339,49.4758498269563,-30.9370561085578,"cognitive"
"87",1.45756729574554,-1.73479931383729,49.4758498269563,-30.9370561085578,"cognitive"
"65",1.85289475974514,6.10580566768582,49.4758498269563,-30.9370561085578,"cognitive"
"109",1.91356981621735,-2.46462751769337,49.4758498269563,-30.9370561085578,"cognitive"
"111",2.47582541145417,-5.07616611105813,49.4758498269563,-30.9370561085578,"cognitive"
"36",2.98738183332523,-7.18316286174187,49.4758498269563,-30.9370561085578,"cognitive"
"78",3.34624596808869,-6.01395775167585,49.4758498269563,-30.9370561085578,"cognitive"
"105",3.64328587079606,4.9804249294162,49.4758498269563,-30.9370561085578,"cognitive"
"62",3.90255953751445,-12.4713904495137,49.4758498269563,-30.9370561085578,"cognitive"
"91",4.6839700686285,9.55328569268717,49.4758498269563,-30.9370561085578,"cognitive"
