sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0111	ses-01	pain	124 L_PBelt_ROI	-0.040300810164828046	0.07498431186274229	-0.12231948627428513	0.07629826393589793	-0.07601955990519546	0.10734018313329113	0.024643572140908034	0.0444333801137249	-0.018932053915555674	0.07379635193462822	-0.03851819915255178	0.20264423844747115	-0.008607975351451575	0.08240500467555925	0.034586268201940405	-0.01962549852262008	0.09197276407293851	-0.1527332121559851	0.18257515659498139	-0.12135418455592191
sub-0111	ses-01	pain	125 L_A5_ROI	0.035933675451510154	-0.18964503617518955	0.0951583210765236	-0.13411754676407853	-0.08667646018172555	0.15403439389664536	-0.24048995156548225	0.08975708504556007	-0.13090472095908795	0.057221275385376906	-0.10631052556287772	0.1585640171352252	-0.11648290962969919	0.2498092957374628	-0.19983248406426798	0.155802756549554	0.016418543469126266	-0.11071261186780894	0.1381786557895958	-0.047685193022227325
sub-0111	ses-01	pain	126 L_PHA1_ROI	-0.0012515327575722025	0.03751818670441268	-0.09041450784922254	0.12317045556874477	-0.1158586734325272	0.12643044633126727	-0.05534410234018072	0.20077976245428825	-0.13331156812892128	0.16604157213030502	-0.04348754640953339	0.10623232180602764	-0.1076018241789348	0.23350335590380275	-0.18322748281642498	-2.9958375820287978e-06	-0.08661730395640192	0.0034907550467583102	-0.04270925723636286	-0.0772862680900038
sub-0111	ses-01	pain	127 L_PHA3_ROI	0.30230335223766425	-0.37148180731765257	0.4319743181102893	-0.3044337868494545	0.12515350304854425	0.0468519997516989	-0.03443349208676517	0.1339664912265721	-0.06289183640600593	0.16586146213312922	-0.13436705240446428	0.23673803864682363	-0.012073292549739496	0.12218032345818054	0.1013874308720756	-0.13531719677577567	0.2665866925447038	-0.19267638459187	0.17362022339214803	-0.041133628685474634
sub-0111	ses-01	pain	128 L_STSda_ROI	-0.02348125059830586	-0.034826907592189836	-0.027253307890625425	-0.0017993115273196533	-0.027799251496711967	0.03961247589119683	-0.062046529558482534	0.07271432885085416	-0.003766692857239328	0.043276794413141	-0.02373526492396191	0.09287924434201154	0.053467504585196376	0.10661073579780918	-0.03780044447952196	0.02233341488424971	0.07518737821879817	-0.11366085872508028	0.07109998103307337	0.013133133407788702
sub-0111	ses-01	pain	129 L_STSdp_ROI	-0.004178985096931437	-0.01838405306721332	-0.0450723059164248	-0.013153044209008495	-0.15253872150493875	0.0843059911760822	-0.11766600265211286	-0.012647960564873844	-0.035792758323594714	0.005120593331886986	-0.009834379952749205	0.06976785765124918	0.09439512021537268	-0.012195935060164783	0.11513607901855127	0.08575004468326022	0.09038632251061976	0.09570544734885156	-0.004382872274268737	0.16966779768995885
sub-0111	ses-01	pain	130 L_STSvp_ROI	-0.030631638129011585	-0.08593494072026328	0.068440099739337	-0.15814896036569676	0.04308058882511611	-0.034042013125057585	-0.04971573049906475	-0.043090943983988966	-0.0453314793795357	-0.011318564648494367	-0.0025786870083034413	0.013193709219029827	0.008433520660614886	0.0052722414165284285	0.05797326547679896	-0.05455917862580054	0.08235257393175334	0.0012813341341236727	0.03852924845012192	0.06001472816907879
sub-0111	ses-01	pain	131 L_TGd_ROI	-0.08907924109108052	-0.005003866275393787	-0.0852376648592683	0.0814563164098238	-0.11631328556903213	0.07625960974821179	-0.045686385830370324	0.024510890302337933	0.006840642023035811	0.03969283461253765	-0.160209576695736	0.17203194506756597	-0.12077604220308895	0.08063728344057951	-0.10202676309271036	0.055677474272348336	-0.015672926833692317	-0.038552631585888036	0.020691405115505792	-0.02270174491222436
sub-0111	ses-01	pain	132 L_TE1a_ROI	-0.10185729017804601	-0.048514707782974835	-0.01687412769357468	-0.024635606107860555	0.006306981974749382	0.07482065344394989	-0.12781891232239737	0.10976145410045246	-0.012000652559711217	0.012941613921354712	-0.031712447271496476	0.0836635337976655	0.012422251057388351	0.06017868933805753	-0.019074784310525367	0.049049367453870375	-0.025314007189978886	0.08491908510169986	-0.050583313475442475	0.08249340797419104
sub-0111	ses-01	pain	133 L_TE1p_ROI	-0.020448437644400092	-0.03967944351584958	0.0023930564877987777	-0.026730052388936262	-0.020098983599618928	-0.004470809408447308	-0.022824234673433322	0.00013193392581944025	-0.01975306311074447	0.011174605486206201	-0.03145646051364169	0.025601346095915852	-0.03736162202398225	0.028901451077406652	-0.02597787563214692	-0.023867566595116314	0.0072276727974370306	-0.034412160535330874	0.013889181118588821	-0.009575429127095239
