singletrial_fname	SIIPS	SIIPS_corr	SIIPS_cosine
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-000_cuetype-low.nii.gz	-204.028816236865	-0.052599882854942	-0.00595872468750578
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-001_cuetype-low.nii.gz	1039.382942988	0.0564371244009916	0.0391921719497756
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-002_cuetype-low.nii.gz	-2349.03934681311	-0.120234232678717	-0.126302595129658
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-003_cuetype-high.nii.gz	-469.937710707112	-0.04242562776549	-0.0175436071427115
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-004_cuetype-high.nii.gz	-503.480094450152	-0.0335554643689304	-0.0269217519534876
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-005_cuetype-high.nii.gz	-2549.70851453674	-0.0493454989822407	-0.0744977242965603
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-006_cuetype-high.nii.gz	-437.425522477304	0.00377378558308547	-0.0213715945892249
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-007_cuetype-low.nii.gz	-170.97882024539	-0.0117192161449803	-0.00889938451266834
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-008_cuetype-high.nii.gz	323.230620074055	-0.0173770863249729	0.0106464867172926
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-009_cuetype-low.nii.gz	-419.250583695642	-0.0333189345546024	-0.0170253695348666
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-010_cuetype-high.nii.gz	-1601.1263041573	-0.0735606978585498	-0.0682683901576925
sub-0018_ses-01_run-03_runtype-vicarious_event-cue_trial-011_cuetype-low.nii.gz	-603.544651231503	-0.0314408668805871	-0.019341981664812
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-000_cuetype-low.nii.gz	1225.43074692448	0.00620233459682499	0.0362380849685779
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-001_cuetype-low.nii.gz	-1197.69453352991	-0.0222826450694405	-0.0497086156882888
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-002_cuetype-high.nii.gz	-754.751416919692	-0.0263333278296086	-0.0383173210500374
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-003_cuetype-low.nii.gz	459.253941111808	0.0179866166736091	0.0226769039936608
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-004_cuetype-high.nii.gz	-1293.38167301876	-0.0402412416987278	-0.0524773908065013
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-005_cuetype-low.nii.gz	-41.6611951971276	-0.0189498644732299	-0.00199999876178662
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-006_cuetype-low.nii.gz	-1611.31239407155	-0.044749055577863	-0.0650999853789091
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-007_cuetype-high.nii.gz	-982.049381463398	-0.0167653018647083	-0.0414088091558849
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-008_cuetype-high.nii.gz	1624.77094250846	0.0462753111069316	0.0655335118266803
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-009_cuetype-high.nii.gz	-717.015669808805	-0.0383194242322061	-0.027595494808236
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-010_cuetype-high.nii.gz	2245.23512869678	0.0341159655033504	0.0630607216593314
sub-0018_ses-01_run-04_runtype-cognitive_event-cue_trial-011_cuetype-low.nii.gz	254.033421618207	0.000115730362770287	0.0156879492640339
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-000_cuetype-low.nii.gz	-639.139962474613	-0.0442149125536924	-0.0222727056763296
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-001_cuetype-high.nii.gz	-1776.83293392389	-0.00810312675867146	-0.0464262310382094
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz	-4161.05682369873	-0.165979557931022	-0.176058049018196
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-003_cuetype-high.nii.gz	-1195.63012773506	-0.0569503482386408	-0.0273119306017324
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-004_cuetype-low.nii.gz	-3212.93592551727	-0.0938281630878547	-0.104547536083384
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-005_cuetype-low.nii.gz	-1808.78295333264	-0.0568379040372238	-0.0446171753159672
sub-0018_ses-01_run-05_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz	1980.47287616113	0.00340226704557903	0.0410055424495914
