sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0090	ses-04	pain	43 L_SCEF_ROI	-0.08033475238993423	-0.3380696255743529	0.19937846647599639	-0.050011637875429935	0.06306777310483581	-0.011035524791652474	-0.20754479079168592	0.462733613268374	-0.40417653909863765	0.06612911440214764	0.1093140336292249	-0.11328482503109308	-0.1932067074923033	0.22421229930341255	-0.07175106248671927	0.0030541124061496633	0.15295360528929655	-0.1984905482245959	0.10782831551110016	-0.26151358879372744
sub-0090	ses-04	pain	44 L_6ma_ROI	0.08045764160620839	-0.11263767122150936	0.04466528353764459	-0.015035916226878047	0.03204406128170946	0.08557066070541361	0.10137990453907272	0.13801861178094552	-0.1258920305809485	-0.15285988656861396	0.17051090163053553	0.050536028602728246	-0.14547764943969632	-0.0221486173578742	-0.023658422596121546	0.04521854113812569	0.10694606462821793	0.005938750803635446	-0.02784957188174704	-0.0027815152107121197
sub-0090	ses-04	pain	45 L_7Am_ROI	-0.22642312010806598	0.0022853141100520266	-0.025120381927135865	0.015634299125538327	-0.12856949384199975	0.16639059473193626	0.08377235571574902	0.46271233767146736	-0.2858669079393898	-0.1069872471098714	-0.09866964870545057	-0.0997701223358566	0.11463978483669729	-0.18006636358745748	0.0100477032001497	-0.29872392124974634	0.22690114287649676	0.2486911634832047	-0.012798824970719035	-0.3618082856819833
sub-0090	ses-04	pain	46 L_7PL_ROI	0.0388900335169911	0.07109872373372456	-0.031765697382023506	0.2306522240538512	-0.21782808498945833	0.33319411691094164	-0.01919923769423453	0.44798039001385226	-0.38335713873172017	0.016843239411581654	-0.22940178920160517	0.1562108732127293	-0.03666410287909668	-0.027228219958195708	0.09098152426523422	-0.4103975302269586	0.4209202611419247	0.06920214820133762	0.023689414148532605	-0.2546547971600495
sub-0090	ses-04	pain	47 L_7PC_ROI	-0.013562625185746802	-0.09800105210175794	0.017046646746252017	0.07606374147977746	0.027831274663247925	0.1988218202668693	-0.06891746397841556	0.349328715976412	-0.29623314556864	0.0731416407302449	-0.07521707022175526	0.05558363108929207	-0.05271083960388238	-0.028140869782870108	0.0028572846072612303	-0.08111043358297407	0.1899640685946663	-0.0835598683913583	0.06932625462995542	-0.27968709190507884
sub-0090	ses-04	pain	48 L_LIPv_ROI	-0.2725131439103923	0.05264091899642627	-0.020645658704980658	0.17452934091492878	-0.23498830291148992	0.4835639886399579	-0.34637790576733324	0.283582899602656	-0.3872990154032891	0.08858091804599354	-0.14277093098242438	-0.15731475293529376	0.026003911077386335	0.11241750834371061	0.002745021030668185	-0.2495369503066816	0.3941025198416681	-0.13744565016374444	0.042610777072078346	-0.2484313051725922
sub-0090	ses-04	pain	49 L_VIP_ROI	-0.06503658898748914	-0.09884196443571769	0.05793431618984058	0.2604610383242074	-0.14166196944257436	0.4750245315936918	-0.1937173669291157	0.3947062919454654	-0.4215789483304713	0.0969608873119978	-0.028195907321627706	-0.10622445992774536	0.03378157636842819	-0.11527819810977039	-0.005549400956464891	-0.25774701573642306	0.42031269870462096	-0.11275465754135336	0.0975992206934335	-0.0246459025551516
sub-0090	ses-04	pain	50 L_MIP_ROI	-0.08159463200707459	0.10155214116843204	-0.05717625969241544	0.09194403674544077	-0.03977051455794418	0.23372741301452132	-0.021625473609739272	0.2932107223604709	-0.2616388847024873	0.0451419800710481	-0.16000429623696738	0.05548516397597789	-0.09322923722061413	-0.030165430105602443	0.19588900015406482	-0.2961278485175558	0.33157719536139674	0.026556676346711505	0.07988562337528572	-0.200778460427191
sub-0090	ses-04	pain	51 L_1_ROI	-0.4423165416348626	0.07322416203322768	0.10594813471644841	-0.14094444795355235	0.051020177839294224	0.13569302255298732	-0.09125255473929683	0.4784326356564795	-0.6192694944589724	0.14558207702264023	0.046161507762084705	-0.26827068938891685	0.11993877906892857	-0.06398389669767535	-0.00024463368589516734	0.009752599255669547	0.08672869952115092	-0.16746646856055447	0.18829650321736086	-0.7057593568860047
sub-0090	ses-04	pain	52 L_2_ROI	-0.10083746017941972	-0.020632541761637216	-0.07012415826263896	0.007618812096920137	0.05100779816198206	0.13114430015537473	-0.13214253032183462	0.5165471090292586	-0.4118292458478753	0.06223360809650752	0.003581610577693831	-0.07687597783903868	0.14803532156080834	-0.21019402479394425	0.01573709268007644	0.011055221138499677	0.06903485716992379	-0.13935717173771878	0.2485107717368539	-0.5491412005395022
