ISI01_biopac,ISI01_duration,ISI01_onset,ISI02_biopac,ISI02_duration,ISI02_onset,ISI03_biopac,ISI03_duration,ISI03_onset,ITI_biopac,ITI_duration,ITI_onset,delay_between_medoc,event01_cue_biopac,event01_cue_filename,event01_cue_onset,event01_cue_type,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,event02_expect_biopac,event02_expect_displayonset,event02_expect_responseonset,event03_stimulusC_RT,event03_stimulusC_reseponseonset,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulus_C_stim_filename,event03_stimulus_C_stim_match,event03_stimulus_C_stim_num,event03_stimulus_P_delay_between_medoc,event03_stimulus_P_trigger,event03_stimulus_V_filename,event03_stimulus_V_patientid,event03_stimulus_biopac,event03_stimulus_displayonset,event03_stimulus_type,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,event04_actual_biopac,event04_actual_displayonset,event04_actual_responseonset,param_cond_type,param_counterbalance_block_num,param_counterbalance_ver,param_cue_type,param_end_biopac,param_end_instruct_onset,param_experiment_duration,param_run_num,param_start_biopac,param_stimulus_type,param_task_name,param_trigger_onset,session_id,src_subject_id,trial_no
1614184352.02633,1.69545245170593,1614184352.02295,1614184357.7594,2.2599365711212203,1614184357.75846,1614184369.03047,6.78898358345032,1614184369.02942,1614184349.6592,1.3631172180175801,1614184349.65538,0.0405340194702148,1614184351.02614,l053.png,1614184351.02257,low_cue,,,FIX,1614184353.74069,1614184353.74027,,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614184360.0606,1614184360.05981,high_stim,1.71753001213074,25.2256456981242,FIX,1614184375.83238,1614184375.83201,1614184377.54954,3,1,5,low_cue,1614184513.5611699,1614184513.55106,398.89517354965204,2,1614184114.6570802,high_stim,pain,1614184114.65589,4,3,20
1614184382.13567,2.1839978694915803,1614184382.1344,1614184388.35435,4.46496295928955,1614184388.35344,1614184401.82632,3.49317383766174,1614184401.8252301,1614184379.85944,1.26829695701599,1614184379.8502,0.0562360286712646,1614184381.1353,h015.png,1614184381.1340199,high_cue,1.53421354293823,36.04423500307271,FIX,1614184384.3353698,1614184384.3352401,1614184385.86945,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614184392.87608,1614184392.87539,high_stim,2.3511798381805398,29.370404410219397,FIX,1614184405.32672,1614184405.32656,1614184407.67774,6,1,5,high_cue,1614184513.5611699,1614184513.55106,398.89517354965204,2,1614184114.6570802,high_stim,pain,1614184114.65589,4,3,21
1614184420.1331599,1.88620781898499,1614184420.13219,1614184426.05239,6.16728925704956,1614184426.05111,1614184441.22695,3.0948517322540297,1614184441.22355,1614184409.3601,9.77374982833862,1614184409.34475,0.0690228939056396,1614184419.13254,h027.png,1614184419.13181,high_cue,1.28418135643005,30.058125479486698,FIX,1614184422.03308,1614184422.0329099,1614184423.3171,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614184432.28859,1614184432.28813,med_stim,1.85136270523071,11.446459092938499,FIX,1614184444.3261,1614184444.3247302,1614184446.17609,5,1,5,high_cue,1614184513.5611699,1614184513.55106,398.89517354965204,2,1614184114.6570802,med_stim,pain,1614184114.65589,4,3,22
1614184451.52865,1.39093136787415,1614184451.5274699,1614184456.94699,2.2722032070159903,1614184456.9462,1614184468.23508,4.68457698822021,1614184468.23382,1614184448.34336,2.17557859420776,1614184448.3429198,0.0506670475006104,1614184450.5278401,h010.png,1614184450.52709,high_cue,1.3840634822845501,20.5014258085662,FIX,1614184452.92824,1614184452.928,1614184454.3120599,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614184459.2702801,1614184459.26973,low_stim,1.96757698059082,0.924045352772706,FIX,1614184472.93604,1614184472.93561,1614184474.9031901,4,1,5,high_cue,1614184513.5611699,1614184513.55106,398.89517354965204,2,1614184114.6570802,low_stim,pain,1614184114.65589,4,3,23
1614184486.82744,0.8941700458526608,1614184486.8242302,1614184491.76088,6.05895924568176,1614184491.75944,1614184506.8327,2.68655872344971,1614184506.83184,1614184476.96045,8.864693880081179,1614184476.95381,0.0639111995697021,1614184485.82727,l021.png,1614184485.82385,low_cue,1.6852316856384297,6.23833268963931,FIX,1614184487.7414901,1614184487.74125,1614184489.42648,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1614184497.88375,1614184497.88311,med_stim,2.36774086952209,10.7192752593735,FIX,1614184509.5330698,1614184509.5328698,1614184511.90061,2,1,5,low_cue,1614184513.5611699,1614184513.55106,398.89517354965204,2,1614184114.6570802,med_stim,pain,1614184114.65589,4,3,24
1613583389.14391,1.18213486671448,1613583389.1414099,1613583394.38683,4.64684724807739,1613583394.3767,1613583408.0359,5.19175338745117,1613583408.03179,1613583387.04318,1.0845553874969498,1613583387.04063,0.0492901802062988,1613583388.1433802,h032.png,1613583388.14104,high_cue,3.1014428138732897,42.0559536500124,FIX,1613583390.35978,1613583390.35854,1613583393.45998,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613583399.08099,1613583399.0799,low_stim,2.98456478118896,50.37099469553571,FIX,1613583413.2515302,1613583413.25041,1613583416.2349699,4,2,5,high_cue,1613583783.0690598,1613583783.05498,398.794726133347,4,1613583384.2622302,low_stim,pain,1613583384.2602599,3,3,25
1613583418.8379,1.3877253532409701,1613583418.83582,1613583424.25618,7.769038200378421,1613583424.25451,1613583441.04603,3.0794434547424303,1613583441.04411,1613583417.28531,0.5559186935424799,1613583417.26857,0.0451591014862061,1613583417.83711,l014.png,1613583417.83545,low_cue,1.4007420539856001,22.5471776676405,FIX,1613583420.23747,1613583420.23635,1613583421.63709,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613583432.0704699,1613583432.0693,med_stim,,,FIX,1613583444.1462,1613583444.1452599,,2,2,5,low_cue,1613583783.0690598,1613583783.05498,398.794726133347,4,1613583384.2622302,med_stim,pain,1613583384.2602599,3,3,26
1613583450.33548,1.1926474571228,1613583450.3309,1613583455.56867,0.557362079620361,1613583455.56619,1613583465.13815,1.48712635040283,1613583465.13642,1613583448.1854,1.14433336257935,1613583448.1801,0.0588569641113281,1613583449.33571,h033.png,1613583449.3305302,high_cue,2.38600492477417,44.1884993162881,FIX,1613583451.54881,1613583451.54802,1613583453.93403,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613583456.18446,1613583456.18319,low_stim,1.66740083694458,30.4889404998309,FIX,1613583466.6377802,1613583466.63698,1613583468.3043802,4,2,5,high_cue,1613583783.0690598,1613583783.05498,398.794726133347,4,1613583384.2622302,low_stim,pain,1613583384.2602599,3,3,27
1613583472.74113,2.48429036140442,1613583472.73926,1613583479.2605,8.965193986892698,1613583479.25836,1613583497.23585,6.19182252883911,1613583497.23173,1613583470.66881,1.0692780017852799,1613583470.65515,0.0401358604431152,1613583471.74075,l023.png,1613583471.7388802,low_cue,1.66740679740906,9.309940174986039,FIX,1613583475.24119,1613583475.24019,1613583476.9076,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613583488.2655199,1613583488.26435,med_stim,2.91787147521973,25.6410058243053,FIX,1613583503.43485,1613583503.43404,1613583506.3519099,2,2,5,low_cue,1613583783.0690598,1613583783.05498,398.794726133347,4,1613583384.2622302,med_stim,pain,1613583384.2602599,3,3,28
1613583509.5383,0.6872351169586178,1613583509.53631,1613583514.2735,0.552136659622192,1613583514.27141,1613583523.84379,6.18190002441406,1613583523.84165,1613583507.46947,1.07226085662842,1613583507.4522,0.069044828414917,1613583508.53773,h017.png,1613583508.53594,high_cue,2.3009700775146498,48.0984569671244,FIX,1613583510.25426,1613583510.25325,1613583512.55422,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1613583514.89377,1613583514.8931,high_stim,1.75661158561707,66.62047604722339,FIX,1613583530.0448,1613583530.0439599,1613583531.80057,6,2,5,high_cue,1613583783.0690598,1613583783.05498,398.794726133347,4,1613583384.2622302,high_stim,pain,1613583384.2602599,3,3,29
