sub,ses,run,run_type,meta,experiment_dur
sub-0006,ses-03,5,run-05-pain,sub-0006_ses-03_run-05-pain,399.252405405045
sub-0006,ses-03,2,run-02-pain,sub-0006_ses-03_run-02-pain,398.838037252426
sub-0006,ses-03,3,run-03-vicarious,sub-0006_ses-03_run-03-vicarious,398.810044527054
sub-0006,ses-03,6,run-06-cognitive,sub-0006_ses-03_run-06-cognitive,399.007292985916
sub-0006,ses-03,4,run-04-vicarious,sub-0006_ses-03_run-04-vicarious,398.826503992081
sub-0006,ses-03,1,run-01-cognitive,sub-0006_ses-03_run-01-cognitive,398.710032701492
sub-0006,ses-04,2,run-02-vicarious,sub-0006_ses-04_run-02-vicarious,398.8240239620209
sub-0006,ses-04,3,run-03-cognitive,sub-0006_ses-04_run-03-cognitive,398.637266397476
sub-0006,ses-04,5,run-05-vicarious,sub-0006_ses-04_run-05-vicarious,399.223127365112
sub-0006,ses-04,6,run-06-pain,sub-0006_ses-04_run-06-pain,399.00862574577286
sub-0006,ses-04,1,run-01-pain,sub-0006_ses-04_run-01-pain,398.6170816421511
sub-0006,ses-04,4,run-04-cognitive,sub-0006_ses-04_run-04-cognitive,398.825789928436
sub-0007,ses-01,4,run-04-cognitive,sub-0007_ses-01_run-04-cognitive,399.0180215835569
sub-0007,ses-01,5,run-05-pain,sub-0007_ses-01_run-05-pain,398.533571720123
sub-0007,ses-01,2,run-02-cognitive,sub-0007_ses-01_run-02-cognitive,399.318385124207
sub-0007,ses-01,3,run-03-vicarious,sub-0007_ses-01_run-03-vicarious,399.02218747139
sub-0007,ses-01,6,run-06-vicarious,sub-0007_ses-01_run-06-vicarious,398.816560983658
sub-0007,ses-01,1,run-01-pain,sub-0007_ses-01_run-01-pain,398.116049528122
sub-0007,ses-03,2,run-02-vicarious,sub-0007_ses-03_run-02-vicarious,398.531391620636
sub-0007,ses-03,4,run-04-vicarious,sub-0007_ses-03_run-04-vicarious,399.012848138809
sub-0007,ses-03,3,run-03-pain,sub-0007_ses-03_run-03-pain,398.811512947083
sub-0007,ses-03,1,run-01-cognitive,sub-0007_ses-03_run-01-cognitive,398.831941604614
sub-0007,ses-03,5,run-05-cognitive,sub-0007_ses-03_run-05-cognitive,398.81396651268
sub-0007,ses-04,2,run-02-pain,sub-0007_ses-04_run-02-pain,398.807332515717
sub-0007,ses-04,4,run-04-pain,sub-0007_ses-04_run-04-pain,398.823128223419
sub-0007,ses-04,6,run-06-cognitive,sub-0007_ses-04_run-06-cognitive,398.41732621192887
sub-0007,ses-04,3,run-03-cognitive,sub-0007_ses-04_run-03-cognitive,398.838085651398
sub-0007,ses-04,1,run-01-vicarious,sub-0007_ses-04_run-01-vicarious,398.520820856094
sub-0007,ses-04,5,run-05-vicarious,sub-0007_ses-04_run-05-vicarious,398.5300695896151
sub-0008,ses-01,1,run-01-vicarious,sub-0008_ses-01_run-01-vicarious,399.32547307014505
sub-0008,ses-01,3,run-03-pain,sub-0008_ses-01_run-03-pain,399.312758207321
sub-0008,ses-01,4,run-04-pain,sub-0008_ses-01_run-04-pain,398.8126487731929
sub-0008,ses-01,5,run-05-cognitive,sub-0008_ses-01_run-05-cognitive,399.118666410446
sub-0008,ses-01,6,run-06-vicarious,sub-0008_ses-01_run-06-vicarious,399.135578155518
sub-0008,ses-01,2,run-02-cognitive,sub-0008_ses-01_run-02-cognitive,399.019988059998
sub-0008,ses-03,6,run-06-pain,sub-0008_ses-03_run-06-pain,398.8233511447911
sub-0008,ses-03,1,run-01-pain,sub-0008_ses-03_run-01-pain,398.822515010834
sub-0008,ses-03,2,run-02-vicarious,sub-0008_ses-03_run-02-vicarious,398.13791012764
sub-0008,ses-03,3,run-03-cognitive,sub-0008_ses-03_run-03-cognitive,399.22581505775497
sub-0008,ses-03,5,run-05-vicarious,sub-0008_ses-03_run-05-vicarious,398.6196281909941
sub-0008,ses-03,4,run-04-cognitive,sub-0008_ses-03_run-04-cognitive,399.229895591736
sub-0008,ses-04,2,run-02-pain,sub-0008_ses-04_run-02-pain,399.013818025589
sub-0008,ses-04,3,run-03-vicarious,sub-0008_ses-04_run-03-vicarious,398.118983745575
sub-0008,ses-04,6,run-06-cognitive,sub-0008_ses-04_run-06-cognitive,398.6378653049469
sub-0008,ses-04,4,run-04-vicarious,sub-0008_ses-04_run-04-vicarious,398.968693494797
sub-0008,ses-04,1,run-01-cognitive,sub-0008_ses-04_run-01-cognitive,398.83806014061
sub-0009,ses-01,5,run-05-vicarious,sub-0009_ses-01_run-05-vicarious,398.834423780441
sub-0009,ses-01,1,run-01-vicarious,sub-0009_ses-01_run-01-vicarious,398.81991147995
sub-0009,ses-01,2,run-02-pain,sub-0009_ses-01_run-02-pain,398.821971178055
sub-0009,ses-01,4,run-04-pain,sub-0009_ses-01_run-04-pain,398.135228633881
sub-0009,ses-01,3,run-03-cognitive,sub-0009_ses-01_run-03-cognitive,399.08887887001
sub-0009,ses-01,6,run-06-cognitive,sub-0009_ses-01_run-06-cognitive,398.510449171066
sub-0009,ses-03,3,run-03-cognitive,sub-0009_ses-03_run-03-cognitive,398.837189674377
sub-0009,ses-03,2,run-02-vicarious,sub-0009_ses-03_run-02-vicarious,398.433910608292
sub-0009,ses-03,4,run-04-cognitive,sub-0009_ses-03_run-04-cognitive,398.104398488998
sub-0009,ses-03,5,run-05-vicarious,sub-0009_ses-03_run-05-vicarious,398.629470825195
sub-0009,ses-03,1,run-01-pain,sub-0009_ses-03_run-01-pain,399.012561321259
sub-0009,ses-03,6,run-06-pain,sub-0009_ses-03_run-06-pain,398.80911922454806
sub-0009,ses-04,6,run-06-vicarious,sub-0009_ses-04_run-06-vicarious,398.617621421814
sub-0009,ses-04,1,run-01-pain,sub-0009_ses-04_run-01-pain,398.52553033828696
sub-0009,ses-04,3,run-03-vicarious,sub-0009_ses-04_run-03-vicarious,398.942711353302
sub-0009,ses-04,2,run-02-cognitive,sub-0009_ses-04_run-02-cognitive,398.818960666656
sub-0009,ses-04,4,run-04-cognitive,sub-0009_ses-04_run-04-cognitive,398.819898366928
sub-0009,ses-04,5,run-05-pain,sub-0009_ses-04_run-05-pain,398.9274158477781
sub-0010,ses-01,4,run-04-vicarious,sub-0010_ses-01_run-04-vicarious,399.011870145798
sub-0010,ses-01,1,run-01-cognitive,sub-0010_ses-01_run-01-cognitive,399.13191056251503
sub-0010,ses-01,5,run-05-cognitive,sub-0010_ses-01_run-05-cognitive,399.0255861282351
sub-0010,ses-01,6,run-06-pain,sub-0010_ses-01_run-06-pain,398.103703975677
sub-0010,ses-01,2,run-02-vicarious,sub-0010_ses-01_run-02-vicarious,399.0355489254
sub-0010,ses-01,3,run-03-pain,sub-0010_ses-01_run-03-pain,398.710291862488
sub-0010,ses-03,4,run-04-pain,sub-0010_ses-03_run-04-pain,398.81089925766
sub-0010,ses-03,3,run-03-pain,sub-0010_ses-03_run-03-pain,399.027048110962
sub-0010,ses-03,2,run-02-cognitive,sub-0010_ses-03_run-02-cognitive,398.885946989059
sub-0010,ses-03,6,run-06-vicarious,sub-0010_ses-03_run-06-vicarious,399.020334482193
sub-0010,ses-03,5,run-05-cognitive,sub-0010_ses-03_run-05-cognitive,399.222516298294
sub-0010,ses-03,1,run-01-vicarious,sub-0010_ses-03_run-01-vicarious,398.846110105515
sub-0010,ses-04,2,run-02-pain,sub-0010_ses-04_run-02-pain,398.5101630687709
sub-0010,ses-04,5,run-05-pain,sub-0010_ses-04_run-05-pain,398.632310152054
sub-0010,ses-04,3,run-03-vicarious,sub-0010_ses-04_run-03-vicarious,398.94389796257
sub-0010,ses-04,6,run-06-cognitive,sub-0010_ses-04_run-06-cognitive,398.63320159912087
sub-0010,ses-04,4,run-04-vicarious,sub-0010_ses-04_run-04-vicarious,398.92001080513
sub-0010,ses-04,1,run-01-cognitive,sub-0010_ses-04_run-01-cognitive,398.837180376053
sub-0011,ses-01,5,run-05-pain,sub-0011_ses-01_run-05-pain,398.121145963669
sub-0011,ses-01,2,run-02-pain,sub-0011_ses-01_run-02-pain,398.725041151047
sub-0011,ses-01,4,run-04-vicarious,sub-0011_ses-01_run-04-vicarious,399.023747205734
sub-0011,ses-01,1,run-01-cognitive,sub-0011_ses-01_run-01-cognitive,399.05979299545305
sub-0011,ses-01,3,run-03-vicarious,sub-0011_ses-01_run-03-vicarious,399.013879060745
sub-0011,ses-01,6,run-06-cognitive,sub-0011_ses-01_run-06-cognitive,399.33912134170487
sub-0011,ses-03,3,run-03-cognitive,sub-0011_ses-03_run-03-cognitive,398.827414751053
sub-0011,ses-03,6,run-06-cognitive,sub-0011_ses-03_run-06-cognitive,398.833312034607
sub-0011,ses-03,1,run-01-vicarious,sub-0011_ses-03_run-01-vicarious,398.837384939194
sub-0011,ses-03,5,run-05-vicarious,sub-0011_ses-03_run-05-vicarious,398.82000994682295
sub-0011,ses-03,4,run-04-pain,sub-0011_ses-03_run-04-pain,399.235808610916
sub-0011,ses-04,3,run-03-cognitive,sub-0011_ses-04_run-03-cognitive,398.41580200195295
sub-0011,ses-04,2,run-02-vicarious,sub-0011_ses-04_run-02-vicarious,398.8404312133789
sub-0011,ses-04,4,run-04-cognitive,sub-0011_ses-04_run-04-cognitive,398.806960105896
sub-0011,ses-04,5,run-05-vicarious,sub-0011_ses-04_run-05-vicarious,398.840750217438
sub-0011,ses-04,6,run-06-pain,sub-0011_ses-04_run-06-pain,398.510737895966
sub-0013,ses-01,2,run-02-vicarious,sub-0013_ses-01_run-02-vicarious,398.858850717545
sub-0013,ses-01,6,run-06-pain,sub-0013_ses-01_run-06-pain,398.125554084778
sub-0013,ses-01,5,run-05-cognitive,sub-0013_ses-01_run-05-cognitive,398.840175390244
