"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"99",326,326,14,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0003",6,3,1,"cognitive","stim",3,84.1927399635315,5,1,"True","low_cue","high_stim",29.2328174575243,52.1045754723116,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",7.34061292469307,0.0178273213859353,0.0205317208028572,"cognitive"
"100",327,327,15,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0004",6,3,1,"cognitive","stim",4,114.787490129471,5,1,"True","high_cue","low_stim",64.9831065219,19.1601731219813,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",4.44713442728816,0.0077468070964767,0.0132106102920127,"cognitive"
"101",328,328,16,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0005",6,3,1,"cognitive","stim",5,149.800539970398,5,1,"True","high_cue","med_stim",47.6476296652922,41.4032829223715,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",4.77771396003428,0.00704508095222039,0.0129960043474075,"cognitive"
"102",329,329,17,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0006",6,3,1,"cognitive","stim",6,180.995510101318,5,1,"True","high_cue","high_stim",55.6096855912874,75.515266439677,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",2.64300786024136,0.00243207466136407,0.00808533832000439,"cognitive"
"103",330,330,18,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0007",6,3,1,"cognitive","stim",7,212.19047999382,5,1,"True","high_cue","low_stim",61.0576084082825,41.0995062576181,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-1.72231704034978,-0.000964307574880153,-0.00477271349530882,"cognitive"
"104",331,331,19,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0008",6,3,1,"cognitive","stim",8,251.288390159607,5,1,"True","low_cue","high_stim",27.0812154068428,22.6552327086798,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-1.68460009589094,0.00135716497086176,-0.00455404549994572,"cognitive"
"105",332,332,20,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0009",6,3,1,"cognitive","stim",9,279.182130098343,5,1,"True","high_cue","high_stim",92.7814136692752,36.869897645844,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",9.59637600917558,0.0272238340687284,0.0264444492383713,"cognitive"
"106",333,333,21,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0010",6,3,1,"cognitive","stim",10,316.49604010582,5,1,"True","low_cue","med_stim",30.0581254794867,57.1402479602782,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",15.0770143377221,0.0494203561019649,0.0417057806735912,"cognitive"
"107",334,334,22,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0011",6,3,1,"cognitive","stim",11,349.191570043564,5,1,"True","high_cue","med_stim",98.9726266148964,43.1947134784868,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",8.44879800731912,0.0197538656796079,0.022878356673566,"cognitive"
"108",335,335,23,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0012",6,3,1,"cognitive","stim",12,383.38765001297,5,1,"True","low_cue","low_stim",43.0474909506004,23.4709931181609,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",1.82383792393773,0.00496650683957961,0.00515187589774664,"cognitive"
"109",584,584,12,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0001",6,3,6,"cognitive","stim",1,32.487270116806,5,1,"True","low_cue","med_stim",37.1910075397043,43.6677801461304,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",11.4105551203337,0.0294695072577909,0.0309875703974107,"cognitive"
"110",585,585,13,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0002",6,3,6,"cognitive","stim",2,62.3817601203918,5,1,"True","low_cue","high_stim",51.1964134291043,1.16438804012388,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",2.89047859466736,0.0171428746888624,0.00777999812014534,"cognitive"
"111",586,586,14,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0003",6,3,6,"cognitive","stim",3,92.4929900169373,5,1,"True","high_cue","low_stim",60.3128183608063,97.7542856958229,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",26.4894822779523,0.073063352458675,0.0724132518452663,"cognitive"
"112",587,587,15,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0004",6,3,6,"cognitive","stim",4,132.791350126266,5,1,"True","high_cue","med_stim",69.3624530153122,9.23555909316592,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",0.995397235204079,-0.00411276173575174,0.00280055985644428,"cognitive"
"113",588,588,16,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0005",6,3,6,"cognitive","stim",5,170.888890028,5,1,"True","high_cue","high_stim",59.6277136423551,6.46745892779152,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",8.23131515241803,0.0195041352834523,0.0227120109509353,"cognitive"
"114",589,589,17,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0006",6,3,6,"cognitive","stim",6,195.581429958344,5,1,"True","low_cue","high_stim",31.122470196792,41.7480543996361,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",17.1060394690577,0.0514771045119246,0.0481724830961164,"cognitive"
"115",590,590,18,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0007",6,3,6,"cognitive","stim",7,224.975719928741,5,1,"True","low_cue","low_stim",47.1090897372578,6.0724564072077,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",7.82430555419828,0.0253687429299533,0.0220258073244587,"cognitive"
"116",591,591,19,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0008",6,3,6,"cognitive","stim",8,253.986539840698,5,1,"True","high_cue","high_stim",68.8801438465753,21.2028186438097,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-1.74228746302041,-0.00716632851256864,-0.00525129676978086,"cognitive"
