,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
16,16,25,50,different,high,h056_M101_STD029.png,6,2,cognitive,99,1,25_50_R.jpg,1,1025.44921875,679.4140625,71327.29538617299,2.00023773299472,0,0,0,0,0,0,71334.327550801,1,4.99943516899657,71334.82843542201,71337.24643169201,2.38005720998626
17,17,39,100,different,low,h039_M093_STD051.png,21,3,cognitive,99,1,39_100_R.jpg,1,1042.7578125,661.41015625,71338.897989696,2.0011133400112198,0,0,0,0,0,0,71345.931173868,1,4.9996682469936795,71346.432913073,71348.940701449,2.47472658401239
18,18,47,100,same,high,h015_M105_STD050.png,12,4,cognitive,99,1,47_100.jpg,1,1070.421875,583.4609375,71350.48264927599,2.00110103099723,0,0,0,0,0,0,71357.103630837,2,4.5879474219982495,71358.126477316,,
19,19,1,150,same,low,h007_M075_STD026.png,29,5,cognitive,99,1,1_150.jpg,1,1029.55859375,653.171875,71362.182548547,2.00019403699844,0,0,0,0,0,0,71369.216353208,2,4.99983566399897,71369.717433051,71371.33885913799,1.6066787599993402
20,20,34,100,different,high,h035_M088_STD045.png,22,4,cognitive,99,1,34_100_R.jpg,1,1017.78515625,697.98046875,71373.756405317,2.0011096620000903,0,0,0,0,0,0,71380.78201950001,1,4.9996813139878205,71381.283805977,71382.758471017,1.45013873900461
21,21,19,150,different,high,h037_M122_STD031.png,34,6,cognitive,99,1,19_150_R.jpg,1,1088.7421875,542.8203125,71385.325447307,2.00111779400322,0,0,0,0,0,0,71392.35990930299,1,4.99990974600951,71392.86164082,71394.016016233,1.1332025000010602
22,22,42,150,same,high,h030_M089_STD040.png,26,6,cognitive,99,1,42_150.jpg,1,1039.484375,612.53125,71396.91259631701,2.00091949800844,0,0,0,0,0,0,71403.944958843,2,4.9994896720018,71404.44675837099,71405.718087986,1.23814836800739
23,23,3,100,different,high,h036_M063_STD040.png,20,4,cognitive,99,1,3_100_R.jpg,1,1248.0546875,447.1484375,71408.498088113,2.00113121599134,0,0,0,0,0,0,71415.53101296,2,4.99943419000192,71416.032787452,71418.54824688799,2.4829132350132594
24,24,19,100,same,high,h027_M116_STD049.png,16,4,cognitive,99,1,19_100.jpg,1,1027.625,684.37109375,71420.084958942,2.00112303800415,0,0,0,0,0,0,71427.114147218,2,4.99937819600746,71427.615947138,71428.886317231,1.25057878099324
25,25,41,150,different,high,h023_M111_STD027.png,32,6,cognitive,99,1,41_150_R.jpg,1,1049.8203125,588.171875,71431.665650393,2.0006967549998103,0,0,0,0,0,0,71438.698064115,1,4.99966822299757,71439.199577379,71441.87308217099,2.65145211099298
26,26,6,100,same,low,h016_M068_STD056.png,17,3,cognitive,99,1,6_100.jpg,1,1138.27734375,496.16015625,71443.240049407,2.0002467459999,0,0,0,0,0,0,71450.26473560299,2,4.9995621630077896,71450.76622027901,71451.97593882,1.19480501000362
27,27,32,50,different,low,h030_M107_STD055.png,9,1,cognitive,99,1,32_50_R.jpg,1,1021.0625,658.89453125,71454.809462116,2.00111471999844,0,0,0,0,0,0,71461.842868831,1,4.99936950700067,71462.344625937,71463.71093606,1.3461323880037501
28,28,41,100,same,high,h012_M100_STD045.png,14,4,cognitive,99,1,41_100.jpg,1,1039.81640625,632.5859375,71466.39575696901,2.0011130470084,0,0,0,0,0,0,71473.428390349,2,4.99943114699272,71473.930038857,71475.000359435,1.0364516589907
29,29,18,150,same,high,h048_M093_STD046.png,28,6,cognitive,99,1,18_150.jpg,1,1160.7890625,481.99609375,71477.981028858,2.0011007269931698,0,0,0,0,0,0,71485.018420818,2,4.99975344300037,71485.52016943,71487.000077978,1.4496882940002298
30,30,47,150,different,high,h031_M117_STD049.png,30,6,cognitive,99,1,47_150_R.jpg,1,1065.05078125,615.46484375,71489.568138744,2.00111465800728,0,0,0,0,0,0,71496.597242908,1,4.99936646899732,71497.09901392,,
31,31,5,100,same,low,h026_M078_STD049.png,15,3,cognitive,99,1,5_100.jpg,1,1066.30859375,570.390625,71501.153437942,2.00115225699847,0,0,0,0,0,0,71508.18057134599,2,4.999662392001481,71508.681814041,71511.377213882,2.67209867799829
32,32,22,50,same,low,h017_M089_STD032.png,5,1,cognitive,99,1,22_50.jpg,1,1020.73046875,662.28125,71512.723971306,2.00112798500049,0,0,0,0,0,0,71519.757311981,2,4.99961199599784,71520.259061348,71521.43025050299,1.15011077201052
33,33,42,50,different,high,h020_M085_STD037.png,8,2,cognitive,99,1,42_50_R.jpg,1,1060.55078125,598.046875,71524.310015897,2.00049647099513,0,0,0,0,0,0,71531.343586025,1,4.99998158500239,71531.844337197,71533.149428759,1.28668427900993
34,34,26,100,different,low,h020_M106_STD062.png,19,3,cognitive,99,1,26_100_R.jpg,1,1228.515625,462.96875,71535.879690358,2.0003234890027697,0,0,0,0,0,0,71542.912869412,1,4.99985967700195,71543.41362377099,71544.634244464,1.18734555398987
35,35,22,100,different,low,h029_M099_STD051.png,23,3,cognitive,99,1,22_100_R.jpg,1,1060.95703125,582.28125,71547.46561426099,2.00071131599543,0,0,0,0,0,0,71554.495718125,1,4.99929394799983,71554.99763865401,71556.21753955,1.18551645400294
