src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event05_administer_response,event05_administer_reseponseonset,event05_administer_RT,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,param_cog_stim_num,param_cog_stim_match,param_cog_stim_filename
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606246371.4935,1606246371.50572,1.11384439468384,1606246372.61058,1606246372.62225,high,h030.png,1606246373.64429,1606246373.62455,1606246375.7287,2.08440113067627,1606246377.69577,1606246377.69756,2.10325527191162,50,1606246379.81321,1606246379.8221,99,1606246386.3158,3.15963912010193,1606246386.33226,1606246386.31651,1606246388.6208,2.28853607177734,1606246652.81376,1606246652.82103,676.202311515808,31,different,31_50_R.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246390.38374,1606246390.38938,1.50734162330627,1606246391.90096,1606246391.90527,high,h007.png,1606246392.918,1606246392.90727,1606246394.95417,2.03616380691528,1606246396.96948,1606246396.97221,0.704155445098877,100,1606246397.68641,1606246397.68887,99,1606246404.18802,1.59408617019653,1606246404.20546,1606246404.18888,1606246407.99048,3.78501439094543,1606246652.81376,1606246652.82103,676.202311515808,31,same,31_100.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246408.54038,1606246408.54225,2.60342979431152,1606246411.158,1606246411.15949,high,h022.png,1606246412.17504,1606246412.16175,1606246414.20943,2.03438329696655,1606246416.22653,1606246416.22815,0.503329753875732,100,1606246416.74338,1606246416.7448,99,1606246423.24815,2.5149884223938,1606246423.26244,1606246423.24906,1606246425.79702,2.53457307815552,1606246652.81376,1606246652.82103,676.202311515808,23,different,23_100_R.jpg
1,1,2,3,1,high,0,6,1606245976.61144,1606245976.61362,1606246427.31392,1606246427.32209,2.9097752571106,1606246430.23166,1606246430.23863,high,h011.png,1606246431.2487,1606246431.24071,1606246433.50378,2.25507164001465,1606246435.30018,1606246435.30211,0.803379535675049,150,1606246436.11715,1606246436.12171,99,1606246442.61884,1.07514810562134,1606246442.63621,1606246442.61966,1606246444.7538,2.1175901889801,1606246652.81376,1606246652.82103,676.202311515808,19,different,19_150_R.jpg
1,1,2,3,1,low,0,5,1606245976.61144,1606245976.61362,1606246446.68769,1606246446.68921,1.20283341407776,1606246447.90481,1606246447.90652,low,l028.png,1606246448.92185,1606246448.90855,1606246450.32266,1.40080499649048,1606246452.97333,1606246452.97479,2.20269370079041,150,1606246455.19081,1606246455.1923,99,1606246461.69238,3.43375158309937,1606246461.70988,1606246461.69304,1606246465.16148,3.45159697532654,1606246652.81376,1606246652.82103,676.202311515808,23,same,23_150.jpg
1,1,2,3,1,high,0,2,1606245976.61144,1606245976.61362,1606246465.76136,1606246465.77203,1.91218733787537,1606246467.67873,1606246467.68869,high,h017.png,1606246468.71245,1606246468.69119,1606246471.49716,2.78470277786255,1606246472.76394,1606246472.76552,0.602848529815674,50,1606246473.38083,1606246473.38809,99,1606246479.88418,2.74789428710938,1606246479.89989,1606246479.88485,1606246482.22019,2.32028841972351,1606246652.81376,1606246652.82103,676.202311515808,28,same,28_50.jpg
1,1,2,3,1,low,0,5,1606245976.61144,1606245976.61362,1606246483.95138,1606246483.9552,1.30551767349243,1606246485.26853,1606246485.27156,low,l023.png,1606246486.28557,1606246486.27373,1606246489.00353,2.71794939041138,1606246490.33707,1606246490.33897,0.703346490859985,150,1606246491.054,1606246491.05497,99,1606246497.55748,3.31797862052917,1606246497.57306,1606246497.55815,1606246499.70737,2.13430142402649,1606246652.81376,1606246652.82103,676.202311515808,21,different,21_150_R.jpg
1,1,2,3,1,low,0,3,1606245976.61144,1606245976.61362,1606246501.62455,1606246501.62649,1.70369839668274,1606246503.34185,1606246503.34302,low,l052.png,1606246504.35889,1606246504.34483,1606246505.94308,1.58417534828186,1606246508.41038,1606246508.41207,0.703147172927856,100,1606246509.12731,1606246509.13844,99,1606246515.6302,1.3304271697998,1606246515.64638,1606246515.63088,1606246517.51389,1.86750078201294,1606246652.81376,1606246652.82103,676.202311515808,16,different,16_100_R.jpg
1,1,2,3,1,high,0,4,1606245976.61144,1606245976.61362,1606246519.69788,1606246519.70486,1.10859513282776,1606246520.81495,1606246520.82148,high,h046.png,1606246521.832,1606246521.82393,1606246524.45324,2.62123584747314,1606246525.88349,1606246525.88823,1.30605554580688,100,1606246527.20064,1606246527.20478,99,1606246533.70241,1.41657733917236,1606246533.71971,1606246533.70322,1606246535.33726,1.61754059791565,1606246652.81376,1606246652.82103,676.202311515808,14,same,14_100.jpg
1,1,2,3,1,low,0,5,1606245976.61144,1606245976.61362,1606246537.77121,1606246537.77269,3.30313920974731,1606246541.0891,1606246541.09016,low,l017.png,1606246542.10614,1606246542.09217,1606246545.05752,2.95137286186218,1606246546.15763,1606246546.15953,0.803354740142822,150,1606246546.9746,1606246546.97666,99,1606246553.4761,2.21258878707886,1606246553.49367,1606246553.47684,1606246555.52797,2.03429412841797,1606246652.81376,1606246652.82103,676.202311515808,40,same,40_150.jpg
