sub	ses	run	fd_mean	dvars_mean	run_type
sub-0006	ses-01	run-01	0.1397814136544201	36.11937385533869	vicarious
sub-0006	ses-01	run-02	0.1492733252652123	34.374184485648684	pain
sub-0006	ses-01	run-03	0.2526748109804821	35.865622003444315	cognitive
sub-0006	ses-01	run-04	0.2345573938576348	35.72832965	pain
sub-0006	ses-01	run-05	0.2829075791216991	37.95794637198622	vicarious
sub-0006	ses-01	run-06	0.3893239633524684	37.335198470723306	cognitive
sub-0006	ses-03	run-01	0.1811577490252583	34.784832399540754	cognitive
sub-0006	ses-03	run-02	0.1849075454626865	35.155111967853045	pain
sub-0006	ses-03	run-03	0.1511857880734787	33.88275482319173	vicarious
sub-0006	ses-03	run-04	0.1702582345972445	35.60028175315729	vicarious
sub-0006	ses-03	run-05	0.226567017	34.80987460734788	pain
