mean_PainL_Subj_N1,mean_PainL_Subj_N2,mean_PainL_Subj_N3,mean_PainH_Subj_N1,mean_PainH_Subj_N2,mean_PainH_Subj_N3
48.6051585072184,48.9179132349089,49.50671514628,48.4249049905719,49.0946750391647,49.3057649693971
48.2458539645375,48.6462524269497,49.2405613936401,48.7784642078979,49.2724095893186,49.5950962696042
48.5975054645882,48.8857556756121,49.3751355311586,48.6477327966466,49.171182908675,49.5199074038889
48.3617518220336,48.8012218396267,49.416022278191,48.562222973007,49.1358786357577,49.4435614135403
48.1212588051834,48.5711433196157,49.0655834206174,48.910191654942,49.4238027137235,49.8661325307764
48.3103885657154,48.752627126051,49.344983949064,48.6343918405705,49.1959734173347,49.6151751576136
48.4674574228822,48.8653773403225,49.4287326508479,48.4798524778907,49.1558295209379,49.4423646303252
48.1303915705145,48.6554626479873,49.1968024427082,48.8221266309654,49.3702130996084,49.8633161101142
48.3884131227624,48.7890994711518,49.3840816051576,48.616797461896,49.2045924987625,49.6649290662221
48.4952041003836,48.8938953512367,49.5043289908481,48.4396724158959,49.0509929936309,49.4461140377868
48.6363684891005,49.0203518239814,49.5397497682805,48.4405251290181,49.0426967246268,49.2254466850223
48.461016206839,48.8832331827068,49.4332306854315,48.5952129437498,49.0894367147589,49.3911360437902
48.3140996536336,48.7901443680033,49.3534512103181,48.6228668209863,49.2373000952294,49.7096769753203
48.2737501822902,48.6818180256472,49.1622799045569,48.7637220392618,49.257706789355,49.6726595940974
48.3697296500603,48.8522522909869,49.4021217852565,48.6178361533365,49.18604748088,49.5343351285791
48.3799972510686,48.7659203598218,49.3685239591884,48.6400901625149,49.1436849671142,49.5707665262777
48.3353450117522,48.774394327845,49.2957528209966,48.7037042535357,49.263950457317,49.6386126072052
48.3105674920167,48.7814329629971,49.3906169973297,48.6128962620854,49.2075638942511,49.6200520869733
48.0572205267862,48.5499259647423,49.0399597020986,48.9389679126159,49.4418032428976,49.9235760151915
48.1655320544768,48.6057390225466,49.1297178708112,48.8759453326094,49.4264928156172,49.8731695004579
48.636646457355,48.8972868872741,49.5077138203987,48.4571213844735,49.1341805978721,49.5156524143928
48.2898512006586,48.7079881525488,49.2758051728056,48.7520919234234,49.2322051261078,49.6943772056979
