bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0057_ses-03_task-social_acq-mb8_run-05_bold	0.001430253	0.023912575	3	39.25316803	1.182864017	1.036317098	0.483944391	4181.09375	0.127208	3	0.345224396	2.649254384	2.506728536	2.873623096	2.567411519	0.0137604	-0.010552886	0.032195173	869	82	82	56	5.349061383	0.460000008	2.682927132	2.682926655	2.699999571	1	33.87077498	44.31599045	142.1458435	49.2600708	247681	15.03107071	584.0621338	261.0046387	4.657460513	420.9949646	3239.595215	3290.372314	71234	2156.705994	4086.31062	615.1264648	35.05338669
sub-0057_ses-03_task-social_acq-mb8_run-06_bold	0.000569655	0.020695615	3	38.05005684	1.166832771	1.010400987	0.482825501	4324.394531	0.10105868	0	0	2.638502021	2.50423499	2.862989186	2.548281887	0.00589318	-0.009723337	0.033961069	869	82	82	56	5.398718302	0.460000008	2.682927132	2.682926655	2.699999571	0	40.69493841	43.63695908	140.95961	48.60299301	247773	15.06973572	574.5459229	261.3217163	4.456390894	426.1142273	3246.337158	3293.965576	71159	2177.105615	4096.492725	610.1341553	37.66080856
sub-0058_ses-01_task-alignvideo_acq-mb8_run-03_bold	0.002629951	0.028860191	1	41.40967289	1.229508355	1.033027297	0.501515485	4116.291504	0.108183333	6	0.591133005	2.622236402	2.365222432	2.958682667	2.542804108	0.0122041	-0.019103684	0.038244694	1015	82	82	56	5.366668583	0.460000008	2.68292737	2.682927132	2.699999571	11	19.22916396	45.45235062	182.8269043	50.27389145	245630	15.82660103	848.379541	338.302063	4.879539358	424.6450195	3308.307617	3372.394287	72734	2162.537329	4125.140625	628.3919067	31.74668312
sub-0058_ses-01_task-alignvideo_acq-mb8_run-04_bold	0.004120306	0.02820449	0	40.83121097	1.255401008	1.068990686	0.499840714	4289.004395	0.108977683	6	0.496277916	2.606349393	2.336645438	2.93133567	2.551067072	0.0144874	-0.01724492	0.038585	1209	82	82	56	5.485541114	0.460000008	2.68292737	2.682927132	2.699999571	24	20.55305441	44.18621063	181.2382965	49.68651962	246047	15.86625328	852.5124084	338.6452637	5.184564688	412.8146057	3315.842285	3380.618652	72345	2188.769287	4110.484082	616.2738037	32.66588974
sub-0058_ses-01_task-social_acq-mb8_run-01_bold	0.002115241	0.02373196	2	40.29903047	1.257649517	1.012382878	0.491583995	5861.23877	0.10082426	3	0.344827586	2.560432367	2.300621968	2.894089552	2.48658558	0.0216213	-0.015297931	0.038543485	870	82	82	56	5.598649051	0.460000008	2.682926655	2.682926655	2.699999571	8	19.59352679	36.69866943	167.369278	43.37586212	246041	15.13793087	817.421814	329.7773743	5.648410863	410.7984619	3381.823975	3443.716064	72551	2275.378174	4179.982178	615.0934448	37.99389648
sub-0058_ses-01_task-social_acq-mb8_run-02_bold	0.000526789	0.0184754	3	39.44930691	1.254646552	1.00306656	0.491655084	5939.106934	0.078049832	0	0	2.532824341	2.288221331	2.866369823	2.44388187	0.0141928	-0.013825076	0.041099537	869	82	82	56	5.644385063	0.460000008	2.682926655	2.682926655	2.699999571	1	20.2837608	36.04480743	166.7450409	42.77905655	246367	14.98273849	821.5179565	328.2687073	5.545736402	408.1231995	3361.058594	3421.322266	72497	2282.220068	4151.762793	606.1419678	43.51833344
sub-0058_ses-01_task-social_acq-mb8_run-03_bold	0.000889367	0.026396604	3	39.03266716	1.21705284	0.986913576	0.492621322	5829.805664	0.096071941	3	0.345224396	2.562444263	2.301199695	2.890369733	2.49576336	0.0203773	-0.013801031	0.04106167	869	82	82	56	5.657105516	0.460000008	2.682926655	2.682926655	2.699999571	1	19.27143006	36.5702858	169.1402435	43.28538513	246420	15.15765285	835.883255	329.9853516	5.49552286	408.8587036	3370.50415	3430.92627	72469	2289.423926	4160.900195	606.4766846	36.03338242
sub-0058_ses-01_task-social_acq-mb8_run-04_bold	0.002622615	0.022457904	0	39.15563485	1.249976832	1.075106911	0.488968985	6498.845215	0.125530214	6	0.688073394	2.559325382	2.305008968	2.890489006	2.482478172	0.023911	-0.010729156	0.044065073	872	82	82	56	5.6189671	0.460000008	2.682926655	2.682926655	2.699999571	14	17.68493455	34.48835373	162.4333954	40.95470047	247130	14.2534399	804.0337372	320.8849182	5.29377799	414.1077271	3365.477295	3423.5979	72128	2278.969629	4169.939355	609.2888794	37.44192123
sub-0058_ses-01_task-social_acq-mb8_run-05_bold	0.001501102	0.036301616	1	39.55958707	1.158747665	0.99059259	0.480908086	8193.174805	0.184874876	16	1.836969001	2.591579924	2.318210969	2.899646916	2.556881888	0.0125471	-0.003636065	0.049043451	871	82	82	56	5.82366362	0.460000008	2.682926655	2.682926655	2.699999571	1	21.2459187	30.56781387	150.5740967	37.0200882	249104	12.93685436	747.3817139	312.2800293	5.802663297	397.2349548	3383.037354	3439.321289	70981	2341.211182	4151.626953	590.5727539	31.62053299
sub-0058_ses-01_task-social_acq-mb8_run-06_bold	0.000479965	0.023312216	4	36.97645859	1.172858316	0.998405453	0.470874269	10135.7793	0.080934083	0	0	2.54967594	2.279685876	2.873026732	2.496315212	0.012138	0.000629792	0.054796513	868	82	82	56	5.898664075	0.460000008	2.682926655	2.682926655	2.699999571	1	26.15467929	25.04794884	139.3821869	33.27361679	252296	13.16705036	708.3862457	309.5966187	5.913892513	391.2871704	3391.564697	3444.029297	69058	2391.76908	4153.343994	583.8617554	39.21968079
