ISI01_biopac,ISI01_duration,ISI01_onset,ISI02_biopac,ISI02_duration,ISI02_onset,ISI03_biopac,ISI03_duration,ISI03_onset,ITI_biopac,ITI_duration,ITI_onset,delay_between_medoc,event01_cue_biopac,event01_cue_filename,event01_cue_onset,event01_cue_type,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,event02_expect_biopac,event02_expect_displayonset,event02_expect_responseonset,event03_stimulusC_RT,event03_stimulusC_reseponseonset,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulus_C_stim_filename,event03_stimulus_C_stim_match,event03_stimulus_C_stim_num,event03_stimulus_P_delay_between_medoc,event03_stimulus_P_trigger,event03_stimulus_V_filename,event03_stimulus_V_patientid,event03_stimulus_biopac,event03_stimulus_displayonset,event03_stimulus_type,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,event04_actual_biopac,event04_actual_displayonset,event04_actual_responseonset,param_cond_type,param_counterbalance_block_num,param_counterbalance_ver,param_cue_type,param_end_biopac,param_end_instruct_onset,param_experiment_duration,param_run_num,param_start_biopac,param_stimulus_type,param_task_name,param_trigger_onset,session_id,src_subject_id,trial_no
1616681408.40606,1.69449663162231,1616681408.4044,1616681414.15816,1.3423261642456101,1616681414.15657,1616681424.52192,0.48842215538024897,1616681424.5104802,1616681395.25461,12.1503448486328,1616681395.24944,0.0499169826507568,1616681407.42139,h037.png,1616681407.40403,high_cue,3.4848864078521697,125.922946199071,FIX,1616681410.12282,1616681410.1217198,1616681413.6066,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681415.55131,1616681415.54974,high_stim,,,FIX,1616681425.02106,1616681425.01067,,6,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,high_stim,pain,1616681069.51032,4,2,11
1616681433.1150699,1.18517923355103,1616681433.11372,1616681438.33796,7.66654300689697,1616681438.33236,1616681455.0070002,9.09359049797058,1616681455.00531,1616681429.05459,3.05431365966797,1616681429.0455198,0.0507869720458984,1616681432.12167,h001.png,1616681432.1133401,high_cue,,,FIX,1616681434.32096,1616681434.31417,,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681446.05177,1616681446.05041,high_stim,,,FIX,1616681464.12099,1616681464.10874,,6,1,3,high_cue,1616681468.14555,1616681468.1436,398.633279800415,0,1616681069.51584,high_stim,pain,1616681069.51032,4,2,12
1616681611.70626,1.59146523475647,1616681611.69773,1616681617.3396301,0.556007146835327,1616681617.33319,1616681626.90649,1.98573279380798,1616681626.90346,1616681607.8062901,2.89461255073547,1616681607.7962599,0.0405731201171875,1616681610.7063901,h024.png,1616681610.69735,high_cue,1.98919773101807,110.64046919509501,FIX,1616681613.32185,1616681613.31501,1616681615.3042,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681617.9361901,1616681617.93497,high_stim,3.9349176883697496,98.130102354156,FIX,1616681628.9048,1616681628.9042199,1616681632.8391302,6,2,3,high_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,high_stim,pain,1616681605.01346,4,2,13
1616681635.0088198,1.9826762676238998,1616681635.00652,1616681641.0269,5.86374044418335,1616681641.02545,1616681655.90605,4.29146647453308,1616681655.89773,1616681633.40763,0.584350347518921,1616681633.40591,0.079132080078125,1616681634.00757,l046.png,1616681634.00614,low_cue,3.21804523468018,56.7005794628158,FIX,1616681637.0083802,1616681637.0072699,1616681640.2253199,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681646.97005,1616681646.96899,high_stim,,,FIX,1616681660.20501,1616681660.19935,,3,2,3,low_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,high_stim,pain,1616681605.01346,4,2,14
1616681665.80605,1.3877317905426,1616681665.80146,1616681671.22262,0.9690222740173341,1616681671.22017,1616681681.2092,5.48192238807678,1616681681.20727,1616681664.23576,0.555805444717407,1616681664.23421,0.045543909072876,1616681664.80616,l017.png,1616681664.80109,low_cue,1.88584160804749,46.3720916494606,FIX,1616681667.20525,1616681667.2019901,1616681669.08783,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681672.2366,1616681672.23545,high_stim,3.5681452751159703,38.948267891206,FIX,1616681686.7102098,1616681686.70935,1616681690.2774901,3,2,3,low_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,high_stim,pain,1616681605.01346,4,2,15
1616681700.90645,1.39116549491882,1616681700.89803,1616681706.3399599,1.15578293800354,1616681706.33341,1616681716.5061,3.88528108596802,1616681716.50391,1616681690.84553,9.04590058326721,1616681690.84424,0.0340559482574463,1616681699.9061198,h039.png,1616681699.89765,high_cue,2.8895583152771,101.08489129224199,FIX,1616681702.32203,1616681702.3152301,1616681705.20479,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681707.52459,1616681707.5238,high_stim,2.78458166122437,83.4270050135266,FIX,1616681720.40633,1616681720.40539,1616681723.18997,6,2,3,high_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,high_stim,pain,1616681605.01346,4,2,16
1616681726.00933,1.98169779777527,1616681726.0075,1616681732.0279698,11.1627616882324,1616681732.0264301,1616681752.2068,4.28848838806152,1616681752.20071,1616681724.43965,0.5664412975311279,1616681724.42357,0.0388760566711426,1616681725.0088902,l013.png,1616681725.00712,low_cue,2.35110259056091,56.567439861599105,FIX,1616681728.00975,1616681728.00825,1616681730.35935,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681743.22929,1616681743.22854,low_stim,3.76927018165588,32.7068268793835,FIX,1616681756.50584,1616681756.50233,1616681760.2716,1,2,3,low_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,low_stim,pain,1616681605.01346,4,2,17
1616681768.40859,1.98237776756287,1616681768.4068198,1616681774.42738,19.6634421348572,1616681774.42575,1616681803.10724,9.68596076965332,1616681803.10323,1616681760.83978,6.552854299545291,1616681760.8373,0.036729097366333,1616681767.4082901,h032.png,1616681767.40644,high_cue,3.16800212860107,88.1066141542537,FIX,1616681770.40871,1616681770.40757,1616681773.5755801,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681794.12755,1616681794.12667,low_stim,2.98462319374084,27.597295868643698,FIX,1616681812.80771,1616681812.80689,1616681815.7915199,4,2,3,high_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,low_stim,pain,1616681605.01346,4,2,18
1616681821.40693,1.1957321166992199,1616681821.39346,1616681826.6305401,3.36042404174805,1616681826.6287699,1616681839.00661,6.589092254638669,1616681839.0001,1616681816.841,3.56517934799194,1616681816.82507,0.0592668056488037,1616681820.41182,l022.png,1616681820.40976,low_cue,3.0679690837860094,41.250935477652,FIX,1616681822.61205,1616681822.61059,1616681825.67856,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681830.04975,1616681830.04896,med_stim,,,FIX,1616681845.6058,1616681845.60259,,2,2,3,low_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,med_stim,pain,1616681605.01346,4,2,19
1616681857.7089,1.58204007148743,1616681857.70716,1616681863.3274698,0.5632545948028559,1616681863.3259401,1616681872.90671,2.19298005104065,1616681872.89621,1616681849.6400099,7.05263328552246,1616681849.63745,0.0431180000305176,1616681856.70841,h014.png,1616681856.7067802,high_cue,,,FIX,1616681859.3086,1616681859.30776,,0,0,0,,,,0,0,Command Recieved: TRIGGER_AND_Response: RESULT_OK,,,1616681863.93451,1616681863.9329998,med_stim,3.52491927146912,26.667731675598997,FIX,1616681875.10643,1616681875.09704,1616681878.62196,5,2,3,high_cue,1616682004.04066,1616682004.02899,399.01553034782404,1,1616681605.01556,med_stim,pain,1616681605.01346,4,2,20
