"subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad","task"
"59",-14.5358263966929,4.84503967741536,-1.632705287668,-1.2839789631458,0.0417738131812694,-1.53237656221316,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"53",-13.8173546627813,-0.268753109720208,-0.721015414711867,-1.22443150955696,-2.87921384678334,-2.47463390271786,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"10",-13.5218244903189,1.75928606093239,0.53555798887334,-1.75403471886261,-2.15055390843435,-1.02147573286618,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"83",-13.4706878201441,3.13216864430908,-1.08175056795629,-1.62795892298386,-0.858935811111661,-1.38263245003858,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"97",-13.0130744676332,5.44572605956376,-0.476733193325005,-1.14636878005952,0.316516822346403,-0.640339059975498,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"58",-12.9237402101523,9.52432945594304,-1.58479050277612,-0.143273672860548,2.95660471124161,-0.48629543581683,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"65",-12.1726996965294,2.41338085841833,-0.536442242067266,-1.66774456799644,-1.15566491109407,-1.07261173706985,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"76",-11.7113930198351,5.57496952814136,1.84868616639263,-1.78520873104836,-0.128392241245481,0.992885278258761,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"80",-11.3046791449704,2.27109624930372,-0.880062296369435,-1.0000164852304,-0.908024300851753,-1.44681516911593,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"52",-11.1761236219857,-0.248894445840487,-1.40544700221035,-1.49873213523346,-2.09868513037823,-2.0873744703306,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"2",-11.0449495722037,1.40752084120834,-1.25968486221567,-0.947974406317024,-1.19542098687904,-1.82886474312596,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"38",-10.5214573120759,0.85662486200056,0.524963738305281,-2.19228473084533,-2.02304170372609,-0.446757907525287,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"60",-10.459602703183,4.64860489794818,-1.88440884422249,-0.825013778615358,0.897895312664687,-1.13114728457132,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
"70",-10.1360079600214,0.879445647279317,-1.36037682448716,-0.924364410323481,-1.25627841587989,-1.85255868519535,32.6126039841042,-8.44133945516981,9.6029056913236,2.72846183370965,-2.47746283413939,1.61374284850888,"cognitive"
