mean_PainL_Subj_N1,mean_PainL_Subj_N2,mean_PainL_Subj_N3,mean_PainH_Subj_N1,mean_PainH_Subj_N2,mean_PainH_Subj_N3
48.2656929403124,48.898590082675,49.6651403176303,48.3375539256115,49.1133510314774,49.749312759152
48.2923460267305,48.9480255090816,49.6107917875386,48.4147923816882,49.1036818704762,49.6989545390177
48.2646010759089,48.9877204567122,49.645457974508,48.3441696575071,49.0229987322957,49.7278184469033
48.2429304006173,48.8062359697486,49.5948946319318,48.39433481018,49.1644756467117,49.798561863386
48.0798583896179,48.6987083127609,49.5736820783693,48.4273908860598,49.3171051927783,49.9537306080894
48.2201456495931,48.8599412032873,49.6741968720122,48.3249522788612,49.0740485951561,49.7046375571686
48.3118739800954,48.9079467774535,49.6107506849246,48.3908492054056,49.1101589631452,49.7550015332439
48.2718696827796,48.9321726270916,49.6872416730657,48.3006810227386,48.9647579272429,49.7593439888758
48.170903599074,48.8256097539138,49.6583044450955,48.3425334531315,49.196771232435,49.8327238835728
48.2811816316495,48.9401703050047,49.727636329072,48.2952685317239,48.9925005235801,49.6896871985776
48.0960849613844,48.7346750148043,49.6057777711148,48.385558827044,49.1829012929332,49.8223111370499
48.2839224571746,48.8781051983876,49.6871299355665,48.302746927547,49.0041909442624,49.745394469974
48.2494171762169,48.8725097657575,49.667699293205,48.3273133255086,49.1892111775965,49.7727250693397
48.2419645572505,48.8523681528996,49.6060881499395,48.3758324875138,49.0751052130072,49.7595152773144
48.2780305779374,48.9542690508947,49.6445970779506,48.3696225812978,49.1333768977758,49.7053021825019
48.3084978351635,48.891189343603,49.5965053533589,48.3337447330768,49.0498609095494,49.6708649404942
48.3052004932192,48.8978806760107,49.6244520856138,48.3766648613558,49.0477927710917,49.6945872667816
48.3086361164882,48.8866264135668,49.6367728262041,48.3205255053226,48.9987682463134,49.6829389081696
48.0775496093879,48.7086353197408,49.6314540060734,48.3698216723432,49.2781018035359,49.9134996184041
48.2606672203355,48.8908913950058,49.6037488921482,48.3892891175156,49.1234212462221,49.7291756685414
48.0996680929569,48.7113494354444,49.6303984148995,48.3687834053115,49.3011884015648,49.9517412725107
48.3888311396891,49.0577112210945,49.6752356677055,48.3146847176132,48.9225045522681,49.6525079527372
48.3416290454084,48.989098162636,49.6922221934486,48.3444882021717,48.9457980813324,49.7504235197138
48.2151960520753,48.8366305809167,49.6465194256234,48.360326726743,49.1779797484249,49.7866960972633
48.2827926363476,48.9094976084939,49.6304729114132,48.3585372529594,49.0179916235235,49.6844233324163
48.3274143713979,48.9647175138473,49.6565766821834,48.3485291015275,49.0408622447524,49.6722375871611
48.2865423654248,48.9715156913796,49.6494604249366,48.359035573713,49.1019874228846,49.7466242593362
48.2698529443891,48.9433423076364,49.6685344005178,48.3159187264377,49.0134442549155,49.6790411689605
48.3152436212427,49.0413645465367,49.7153664196628,48.3245921710409,49.0449929820592,49.7320126689455
48.2970453088352,48.9508270084575,49.6884881057706,48.3117739440222,49.0549389744909,49.7226875827458
48.2374386976534,48.8923891944087,49.6044234579094,48.367208305696,49.0904262038086,49.6959190952057
48.3411997476343,49.0108195391341,49.6366108210341,48.3357957896331,48.9741022355383,49.6897117715613
48.2077246939305,48.7881690482964,49.594619723233,48.4043173172923,49.1920633723501,49.7846618485327
48.273862645547,48.9062122490537,49.6511804674122,48.3198280895116,49.0738598636484,49.7098531582371
48.3187011356672,49.0099045681487,49.678761830051,48.3564503106846,49.0662355933035,49.6747156296533
48.3383784084558,49.007242519266,49.6230766774006,48.3761592368955,49.0299034318792,49.6875636202074
48.2488900171405,48.8593473930127,49.6493920857749,48.3364780604633,49.0317463898858,49.688302562043
48.2657302971413,48.8992291906112,49.6206894541787,48.3816168386844,49.1212942883078,49.6908153488897
48.2803702573461,48.8718314908924,49.6099779060082,48.3838493977264,49.1154227361296,49.7283345982107
48.2841512596337,48.9048525946654,49.5883694752522,48.3182192528658,48.955741892759,49.6194115724437
48.2914424412582,48.9938144853991,49.6190586625767,48.3661794086233,48.9916805464196,49.6273841252306
48.2866082673676,48.8759648733733,49.589639296082,48.405410288046,49.1249403295433,49.6945576593721
48.1896719492129,48.7531295036317,49.6073295643905,48.3839513650414,49.1988171934746,49.7641849699184
48.2850885682773,48.9184227989947,49.6547726468984,48.3354820119023,48.9666151305419,49.6423394832489
48.3235084801912,48.954267863607,49.6348045083904,48.3712178923327,49.0829739752663,49.6899392913074
48.308119051893,48.9578124728342,49.6988387418913,48.3338557433205,49.0803977958384,49.7253605097011
48.2861785830614,48.9194459306924,49.6121755321963,48.3131638480673,49.0340977358457,49.720256352779
48.3605450317686,48.9811938836215,49.6366544218698,48.3380574459485,48.999956935513,49.6959096495837
48.3478576919604,49.0246434571382,49.6426333179216,48.337546336321,49.0152718532116,49.7101403286736
48.3032866538685,48.9279097522502,49.6221241006758,48.3675260407178,49.0674989076279,49.6995702660013
48.2447813914391,48.8226463427907,49.6019984556598,48.3526299137097,49.0209950791965,49.6795268356395
48.2293503885549,48.8790318268365,49.5793399254087,48.4223305587776,49.1579456203904,49.7945091448091
48.323939547323,49.0529870914425,49.6879163633601,48.3219236376745,49.01229304448,49.6991319267464
48.2872908770364,49.0052198672693,49.6490035376413,48.3279534987713,49.0214660208853,49.6707340235612
48.2654993408216,48.9246553006737,49.7047827580547,48.335367404555,49.0129756612009,49.6821451052057
48.2940813252188,49.023315822662,49.6682147627346,48.3584753427365,49.0406723173019,49.7029587310316
48.2303277153946,48.8531301937793,49.6666061796463,48.3410665204868,49.1604187551805,49.7667883375411
