subj_num_new_pain,alpha_c,alpha_i,weight_exp,pain_err,exp_err
106,0.644202630047229,0.13606605716236,0.184079775574444,30.96137706223,23.7391212837101
109,0.999973950890813,0.0142127674692801,0.475371266901209,9.35967926884478,15.0618824177458
111,0.551402491252449,0.043258736247284,0.245070653553263,23.6808666225428,17.2074521080577
115,0.999957694978557,0.0629358811970239,0.317638752631401,12.3276673851846,12.9684136731067
116,0.161177729573108,0.0999644241026694,0.0280238795500608,15.1896746404108,11.6908835323583
122,0.999998612302193,0.329810682346795,5.94126880164935e-06,20.8911648198401,20.5086025539507
124,0.799244013845102,0.0130150936372445,0.00653259271628398,18.9638962654036,18.0995323102366
126,0.39974516399513,0.069861881475121,0.282109027167921,20.9772448910493,13.2707504854464
127,0.0616356511454322,0.0591777576248488,0.037332998739209,13.6839392631747,12.9898557966326
128,0.999995361341022,0.843147393813275,0.861113548887606,43.7802853860184,43.6950140935855
129,0.999997826688663,9.57557789735151e-07,0.273669665723045,17.4824791961991,15.1987782497563
130,0.950529429008914,0.151886348318353,0.0760065998163029,9.7146907657619,9.83678180869368
132,0.999992519983514,0.267422090064379,0.197892833795673,16.3694861531075,17.1687369832032
133,0.999998315188744,0.010361490543561,0.0674512152797921,12.7830100634899,16.0558298737279
